Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1947,0.331521739,0.335135135,0.345744681,0.321052632,0.308900524,0.288659794,0.176744186,0.153153153,0.219626168,0.142857143,0.107883817,0.119341564
1948,0.130612245,0.101214575,0.075098814,0.091633466,0.1,0.108,0.106719368,0.1015625,0.076628352,0.053030303,0.041198502,0.014705882
1949,-0.014440433,-0.014705882,-0.014705882,-0.032846715,-0.043636364,-0.061371841,-0.071428571,-0.078014184,-0.071174377,-0.064748201,-0.064748201,-0.061594203
1950,-0.051282051,-0.026119403,-0.026119403,-0.01509434,0.003802281,0.023076923,0.05,0.073076923,0.088122605,0.1,0.115384615,0.146718147
1951,0.177606178,0.183908046,0.183908046,0.180076628,0.162878788,0.146616541,0.10989011,0.078853047,0.059859155,0.052447552,0.037931034,0.013468013
1952,-0.016393443,-0.035598706,-0.035598706,-0.038961039,-0.035830619,-0.032786885,-0.02310231,-0.009966777,-0.016611296,-0.019933555,-0.026578073,-0.033222591
1953,-0.03,-0.023489933,-0.020134228,-0.02027027,-0.016891892,-0.016949153,-0.006756757,-0.016778523,-0.006756757,-0.010169492,-0.006825939,0.003436426
1954,0.010309278,0.006872852,0.003424658,0.013793103,0.010309278,0.006896552,-0.003401361,0,-0.006802721,-0.003424658,0.003436426,-0.006849315
1955,-0.006802721,0,-0.003412969,-0.003401361,-0.010204082,0.003424658,0,0.003412969,0.01369863,0.017182131,0.010273973,0.017241379
1956,0.017123288,0.017064846,0.023972603,0.027303754,0.041237113,0.034129693,0.030716724,0.034013605,0.033783784,0.033783784,0.040677966,0.044067797
1957,0.043771044,0.040268456,0.036789298,0.033222591,0.02310231,0.02640264,0.036423841,0.032894737,0.022875817,0.019607843,0.019543974,0.019480519
1958,0.016129032,0.016129032,0.022580645,0.01607717,0.022580645,0.01607717,0.009584665,0.006369427,0.009584665,0.009615385,0.009584665,0.006369427
1959,0.006349206,0.006349206,0,0.006329114,0.003154574,0.003164557,0.003164557,0,0.003164557,0.003174603,-0.003164557,-0.003164557
1960,-0.003154574,-0.003154574,0.003154574,0,-0.003144654,0,0,0,-0.003154574,0.003164557,0.006349206,0.006349206
1961,0.006329114,0.006329114,0,-0.006289308,-0.006309148,-0.012618297,-0.006309148,-0.003164557,-0.003164557,-0.006309148,-0.006309148,-0.003154574
1962,-0.003144654,-0.003144654,-0.003144654,0,0,0.006389776,0.003174603,0.003174603,0.012698413,0.006349206,0.006349206,0
1963,-0.003154574,-0.006309148,-0.006309148,-0.006329114,0,0.003174603,0.003164557,0,-0.009404389,-0.003154574,0,0
1964,0.006329114,0.003174603,0.003174603,0.006369427,0,-0.003164557,-0.003154574,0,0.003164557,0.003164557,0,0.003164557
1965,0,0.009493671,0.009493671,0.012658228,0.019047619,0.028571429,0.025316456,0.025316456,0.022082019,0.025236593,0.028391167,0.034700315
1966,0.034591195,0.040752351,0.040752351,0.0375,0.034267913,0.027777778,0.033950617,0.037037037,0.037037037,0.027692308,0.021472393,0.015243902
1967,0.015197568,0.006024096,0.003012048,-0.003012048,0.003012048,0.006006006,0,-0.005952381,-0.005952381,0,0.003003003,0.012012012
1968,0.011976048,0.017964072,0.024024024,0.03021148,0.027027027,0.020895522,0.023880597,0.023952096,0.02994012,0.02994012,0.032934132,0.026706231
1969,0.029585799,0.029411765,0.032258065,0.035190616,0.038011696,0.043859649,0.043731778,0.043859649,0.040697674,0.043604651,0.046376812,0.049132948
1970,0.048850575,0.048571429,0.042613636,0.042492918,0.036619718,0.033613445,0.036312849,0.033613445,0.036312849,0.033426184,0.027700831,0.022038567
1971,0.021917808,0.027247956,0.029972752,0.029891304,0.035326087,0.035230352,0.032345013,0.043360434,0.032345013,0.032345013,0.032345013,0.040431267
1972,0.040214477,0.039787798,0.037037037,0.036939314,0.036745407,0.039267016,0.044386423,0.041558442,0.049608355,0.046997389,0.052219321,0.064766839
1973,0.072164948,0.081632653,0.107142857,0.109414758,0.126582278,0.146095718,0.1225,0.184538653,0.161691542,0.154613466,0.153846154,0.153284672
1974,0.177884615,0.179245283,0.165898618,0.169724771,0.164044944,0.142857143,0.202672606,0.176842105,0.197002141,0.228941685,0.234408602,0.208860759
1975,0.171428571,0.144,0.124505929,0.12745098,0.117760618,0.115384615,0.087037037,0.055456172,0.062611807,0.050966608,0.036585366,0.041884817
