Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1958,31.5,31.5,31.7,31.6,31.7,31.6,31.6,31.6,31.6,31.5,31.6,31.6
1959,31.7,31.7,31.7,31.8,31.8,31.7,31.7,31.6,31.7,31.6,31.5,31.5
1960,31.6,31.6,31.8,31.8,31.7,31.7,31.7,31.6,31.6,31.7,31.7,31.7
1961,31.8,31.8,31.8,31.6,31.5,31.3,31.5,31.5,31.5,31.5,31.5,31.6
1962,31.7,31.7,31.7,31.6,31.5,31.5,31.6,31.6,31.9,31.7,31.7,31.6
1963,31.6,31.5,31.5,31.4,31.5,31.6,31.7,31.6,31.6,31.6,31.7,31.6
1964,31.8,31.6,31.6,31.6,31.5,31.5,31.6,31.6,31.7,31.7,31.7,31.7
1965,31.8,31.9,31.9,32.0,32.1,32.4,32.4,32.4,32.4,32.5,32.6,32.8
1966,32.9,33.2,33.2,33.2,33.2,33.3,33.5,33.6,33.6,33.4,33.3,33.3
1967,33.4,33.4,33.3,33.1,33.3,33.5,33.5,33.4,33.4,33.4,33.4,33.7
1968,33.8,34.0,34.1,34.1,34.2,34.2,34.3,34.2,34.4,34.4,34.5,34.6
1969,34.8,35.0,35.2,35.3,35.5,35.7,35.8,35.7,35.8,35.9,36.1,36.3
1970,36.5,36.7,36.7,36.8,36.8,36.9,37.1,36.9,37.1,37.1,37.1,37.1
1971,37.3,37.7,37.8,37.9,38.1,38.2,38.3,38.5,38.3,38.3,38.3,38.6
1972,38.8,39.2,39.2,39.3,39.5,39.7,40.0,40.1,40.2,40.1,40.3,41.1
1973,41.6,42.4,43.4,43.6,44.5,45.5,44.9,47.5,46.7,46.3,46.5,47.4
1974,49.0,50.0,50.6,51.0,51.8,52.0,54.0,55.9,55.9,56.9,57.4,57.3
1975,57.4,57.2,56.9,57.5,57.9,58.0,58.7,59.0,59.4,59.8,59.5,59.7
1976,59.9,59.9,60.0,60.6,60.8,61.2,61.6,61.4,61.8,61.9,62.0,62.5
1977,62.8,63.5,64.1,64.9,65.2,65.0,65.1,65.0,65.3,65.6,65.8,66.2
1978,66.8,67.5,68.1,69.0,69.5,70.0,70.4,70.4,71.0,71.8,72.1,72.7
1979,73.8,74.9,75.8,76.9,77.5,78.0,79.2,79.6,80.9,82.1,82.6,83.4
1980,85.2,86.9,87.5,87.8,88.3,88.7,90.3,91.5,91.7,92.8,93.2,93.8
1981,95.2,96.1,97.0,98.0,98.3,98.5,99.0,99.0,98.8,98.9,98.8,98.8
1982,99.7,99.8,99.6,99.6,99.8,100.0,100.4,100.3,100.0,100.2,100.3,100.5
1983,100.2,100.5,100.4,100.4,100.8,101.0,101.3,101.8,102.0,102.2,102.1,102.3
1984,102.9,103.2,103.9,104.0,104.1,104.0,104.2,103.8,103.4,103.4,103.7,103.5
1985,103.4,103.3,103.1,103.3,103.5,103.3,103.2,102.7,102.1,102.9,103.4,103.6
1986,103.2,101.7,100.3,99.6,100.0,99.9,99.4,99.3,99.4,99.7,99.8,99.7
1987,100.5,101.0,101.2,101.9,102.6,103.0,103.5,103.8,103.7,104.1,104.2,104.2
1988,104.6,104.8,104.9,105.8,106.5,107.2,107.9,108.0,108.1,108.2,108.3,109.0
1989,110.5,110.8,111.5,112.3,113.2,112.9,112.8,112.0,112.4,112.8,112.7,113.0
1990,114.9,114.4,114.2,114.1,114.6,114.3,114.5,116.5,118.4,120.8,120.1,118.7
1991,119.0,117.2,116.2,116.0,116.5,116.4,116.1,116.2,116.1,116.4,116.4,115.9
1992,115.6,116.0,116.1,116.3,117.2,118.0,117.9,117.7,118.0,118.1,117.8,117.6
1993,118.0,118.4,118.7,119.3,119.7,119.5,119.2,118.7,118.7,119.1,119.0,118.6
1994,119.1,119.3,119.7,119.7,119.9,120.5,120.7,121.2,121.0,120.9,121.5,121.9
1995,122.9,123.5,123.9,124.6,124.9,125.3,125.3,125.1,125.2,125.3,125.4,125.7
1996,126.3,126.2,126.4,127.4,128.1,128.0,128.0,128.3,128.2,128.0,128.2,129.1
1997,129.7,128.5,127.3,127.0,127.4,127.2,126.9,127.2,127.5,127.8,127.9,126.8
1998,125.4,125.0,124.7,124.9,125.1,124.8,124.9,124.2,123.8,124.0,123.6,122.8
1999,122.9,122.3,122.6,123.6,124.7,125.2,125.7,126.9,128.0,127.7,128.3,127.8
2000,128.3,129.8,130.8,130.7,131.6,133.8,133.7,132.9,134.7,135.4,135.0,136.2
2001,140.0,137.4,135.9,136.4,136.8,135.5,133.4,133.4,133.3,130.3,129.8,128.1
2002,128.5,128.4,129.8,130.8,130.8,130.9,131.2,131.5,132.3,133.2,133.1,132.9
2003,135.3,137.6,141.2,136.8,136.7,138.0,137.7,138.0,138.5,139.3,138.9,139.5
2004,141.4,142.1,143.1,144.8,146.8,147.2,147.4,148.0,147.7,150.0,151.4,150.2
2005,150.9,151.6,153.7,155.0,154.3,154.3,156.3,157.6,162.2,166.2,163.7,163.0
2006,164.3,161.8,162.2,164.3,165.8,166.1,166.8,167.9,165.4,162.2,164.6,165.6
2007,164.0,166.8,169.3,171.4,173.3,173.8,175.1,172.4,173.5,174.7,179.0,178.6
2008,181.0,182.7,187.9,190.9,196.6,200.5,205.5,199.0,196.9,186.4,176.8,170.9
2009,171.2,169.3,168.1,169.1,170.8,174.1,172.5,175.0,174.1,175.2,177.4,178.1
2010,181.9,181.0,183.3,184.4,184.8,183.5,184.1,184.9,184.9,186.6,187.7,189.7
2011,192.7,195.8,199.2,203.1,204.1,203.9,204.6,203.2,203.7,201.1,201.4,199.8
2012,200.7,201.6,204.2,203.7,201.9,199.8,200.1,202.7,204.4,203.5,201.8,201.5
