DATE,CURRSL,M1_Change
1/1/1947,26.7,
2/1/1947,26.7,
3/1/1947,26.7,
4/1/1947,26.6,
5/1/1947,26.6,
6/1/1947,26.6,
7/1/1947,26.5,
8/1/1947,26.5,
9/1/1947,26.7,
10/1/1947,26.5,
11/1/1947,26.5,
12/1/1947,26.4,
1/1/1948,26.4,-0.011235955
2/1/1948,26.3,-0.014981273
3/1/1948,26.2,-0.018726592
4/1/1948,26.1,-0.018796992
5/1/1948,26,-0.022556391
6/1/1948,26,-0.022556391
7/1/1948,26,-0.018867925
8/1/1948,26,-0.018867925
9/1/1948,26,-0.026217228
10/1/1948,26,-0.018867925
11/1/1948,26,-0.018867925
12/1/1948,25.8,-0.022727273
1/1/1949,25.7,-0.026515152
2/1/1949,25.7,-0.022813688
3/1/1949,25.7,-0.019083969
4/1/1949,25.7,-0.01532567
5/1/1949,25.7,-0.011538462
6/1/1949,25.6,-0.015384615
7/1/1949,25.5,-0.019230769
8/1/1949,25.5,-0.019230769
9/1/1949,25.3,-0.026923077
10/1/1949,25.3,-0.026923077
11/1/1949,25.2,-0.030769231
12/1/1949,25.1,-0.027131783
1/1/1950,25.1,-0.023346304
2/1/1950,25.1,-0.023346304
3/1/1950,25.2,-0.019455253
4/1/1950,25.3,-0.015564202
5/1/1950,25.2,-0.019455253
6/1/1950,25.1,-0.01953125
7/1/1950,25,-0.019607843
8/1/1950,24.9,-0.023529412
9/1/1950,24.9,-0.015810277
10/1/1950,24.9,-0.015810277
11/1/1950,24.9,-0.011904762
12/1/1950,25,-0.003984064
1/1/1951,25,-0.003984064
2/1/1951,25.1,0
3/1/1951,25.2,0
4/1/1951,25.2,-0.003952569
5/1/1951,25.3,0.003968254
6/1/1951,25.4,0.011952191
7/1/1951,25.6,0.024
8/1/1951,25.7,0.032128514
9/1/1951,25.8,0.036144578
10/1/1951,26,0.044176707
11/1/1951,26,0.044176707
12/1/1951,26.1,0.044
1/1/1952,26.2,0.048
2/1/1952,26.3,0.047808765
3/1/1952,26.4,0.047619048
4/1/1952,26.4,0.047619048
5/1/1952,26.5,0.04743083
6/1/1952,26.7,0.051181102
7/1/1952,26.7,0.04296875
8/1/1952,26.8,0.042801556
9/1/1952,26.9,0.042635659
10/1/1952,27,0.038461538
11/1/1952,27.2,0.046153846
12/1/1952,27.3,0.045977011
1/1/1953,27.4,0.045801527
2/1/1953,27.5,0.045627376
3/1/1953,27.6,0.045454545
4/1/1953,27.7,0.049242424
5/1/1953,27.7,0.045283019
6/1/1953,27.7,0.037453184
7/1/1953,27.8,0.041198502
8/1/1953,27.8,0.037313433
9/1/1953,27.8,0.033457249
10/1/1953,27.8,0.02962963
11/1/1953,27.8,0.022058824
12/1/1953,27.7,0.014652015
1/1/1954,27.7,0.010948905
2/1/1954,27.7,0.007272727
3/1/1954,27.6,0
4/1/1954,27.6,-0.003610108
5/1/1954,27.6,-0.003610108
6/1/1954,27.5,-0.007220217
7/1/1954,27.5,-0.010791367
8/1/1954,27.5,-0.010791367
9/1/1954,27.4,-0.014388489
10/1/1954,27.4,-0.014388489
11/1/1954,27.4,-0.014388489
12/1/1954,27.4,-0.010830325
1/1/1955,27.4,-0.010830325
2/1/1955,27.5,-0.007220217
3/1/1955,27.5,-0.003623188
4/1/1955,27.5,-0.003623188
5/1/1955,27.6,0
6/1/1955,27.6,0.003636364
7/1/1955,27.7,0.007272727
8/1/1955,27.7,0.007272727
9/1/1955,27.7,0.010948905
10/1/1955,27.8,0.01459854
11/1/1955,27.8,0.01459854
12/1/1955,27.8,0.01459854
1/1/1956,27.9,0.018248175
2/1/1956,27.9,0.014545455
3/1/1956,27.9,0.014545455
4/1/1956,27.9,0.014545455
5/1/1956,27.9,0.010869565
6/1/1956,27.9,0.010869565
7/1/1956,28,0.010830325
8/1/1956,28,0.010830325
9/1/1956,28,0.010830325
10/1/1956,28,0.007194245
11/1/1956,28.1,0.010791367
12/1/1956,28.2,0.014388489
1/1/1957,28.2,0.010752688
2/1/1957,28.2,0.010752688
3/1/1957,28.2,0.010752688
4/1/1957,28.2,0.010752688
5/1/1957,28.2,0.010752688
6/1/1957,28.3,0.014336918
7/1/1957,28.3,0.010714286
8/1/1957,28.3,0.010714286
9/1/1957,28.3,0.010714286
10/1/1957,28.3,0.010714286
11/1/1957,28.3,0.007117438
12/1/1957,28.3,0.003546099
1/1/1958,28.3,0.003546099
2/1/1958,28.2,0
3/1/1958,28.2,0
4/1/1958,28.2,0
5/1/1958,28.3,0.003546099
6/1/1958,28.3,0
7/1/1958,28.4,0.003533569
8/1/1958,28.4,0.003533569
9/1/1958,28.5,0.007067138
10/1/1958,28.5,0.007067138
11/1/1958,28.5,0.007067138
12/1/1958,28.6,0.010600707
1/1/1959,28.5,0.007067138
2/1/1959,28.6,0.014184397
3/1/1959,28.6,0.014184397
4/1/1959,28.6,0.014184397
5/1/1959,28.7,0.014134276
6/1/1959,28.9,0.021201413
7/1/1959,28.8,0.014084507
8/1/1959,28.9,0.017605634
9/1/1959,28.9,0.014035088
10/1/1959,28.8,0.010526316
11/1/1959,28.8,0.010526316
12/1/1959,28.8,0.006993007
1/1/1960,28.8,0.010526316
2/1/1960,28.8,0.006993007
3/1/1960,28.8,0.006993007
4/1/1960,28.8,0.006993007
5/1/1960,28.8,0.003484321
6/1/1960,28.8,-0.003460208
7/1/1960,28.7,-0.003472222
8/1/1960,28.7,-0.006920415
9/1/1960,28.8,-0.003460208
10/1/1960,28.8,0
11/1/1960,28.8,0
12/1/1960,28.7,-0.003472222
1/1/1961,28.7,-0.003472222
2/1/1961,28.7,-0.003472222
3/1/1961,28.7,-0.003472222
4/1/1961,28.7,-0.003472222
5/1/1961,28.7,-0.003472222
6/1/1961,28.7,-0.003472222
7/1/1961,28.8,0.003484321
8/1/1961,28.9,0.006968641
9/1/1961,29,0.006944444
10/1/1961,29.1,0.010416667
11/1/1961,29.2,0.013888889
12/1/1961,29.3,0.020905923
1/1/1962,29.4,0.024390244
2/1/1962,29.5,0.027874564
3/1/1962,29.6,0.031358885
4/1/1962,29.8,0.038327526
