DATE,M2SL,YoY Percent Change
1/1/1959,286.6,
2/1/1959,287.7,
3/1/1959,289.2,
4/1/1959,290.1,
5/1/1959,292.2,
6/1/1959,294.1,
7/1/1959,295.2,
8/1/1959,296.4,
9/1/1959,296.7,
10/1/1959,296.5,
11/1/1959,297.1,
12/1/1959,297.8,
1/1/1960,298.2,0.040474529
2/1/1960,298.4,0.037191519
3/1/1960,299.3,0.034923928
4/1/1960,300.1,0.034470872
5/1/1960,300.9,0.029774127
6/1/1960,302.3,0.027881673
7/1/1960,304.1,0.030149051
8/1/1960,306.9,0.035425101
9/1/1960,308.4,0.039433771
10/1/1960,309.5,0.043844857
11/1/1960,310.9,0.046449007
12/1/1960,312.4,0.049026192
1/1/1961,314.1,0.05331992
2/1/1961,316.5,0.060656836
3/1/1961,318.3,0.063481457
4/1/1961,319.9,0.065978007
5/1/1961,322.2,0.070787637
6/1/1961,324.3,0.072775389
7/1/1961,325.6,0.070700427
8/1/1961,327.6,0.06744868
9/1/1961,329.5,0.068417639
10/1/1961,331.1,0.069789984
11/1/1961,333.4,0.072370537
12/1/1961,335.5,0.073943662
1/1/1962,337.5,0.074498567
2/1/1962,340.1,0.074565561
3/1/1962,343.1,0.077913918
4/1/1962,345.5,0.080025008
5/1/1962,347.5,0.078522657
6/1/1962,349.3,0.077089115
7/1/1962,350.8,0.077395577
8/1/1962,352.8,0.076923077
9/1/1962,354.9,0.077086495
10/1/1962,357.2,0.078828149
11/1/1962,359.8,0.079184163
12/1/1962,362.7,0.081073025
1/1/1963,365.2,0.082074074
2/1/1963,367.9,0.081740665
3/1/1963,370.7,0.08044302
4/1/1963,373.3,0.080463097
5/1/1963,376.1,0.082302158
6/1/1963,378.4,0.083309476
7/1/1963,381.1,0.086374002
8/1/1963,383.6,0.087301587
9/1/1963,386,0.087630318
10/1/1963,388.3,0.087066069
11/1/1963,391.5,0.088104503
12/1/1963,393.2,0.084091536
1/1/1964,395.2,0.082146769
2/1/1964,397.6,0.080728459
3/1/1964,399.8,0.078500135
4/1/1964,401.7,0.076078221
5/1/1964,404.2,0.074714172
6/1/1964,407.1,0.075845666
7/1/1964,410.1,0.076095513
8/1/1964,413.4,0.077685089
9/1/1964,416.9,0.080051813
10/1/1964,419.1,0.079320113
11/1/1964,422,0.077905492
12/1/1964,424.7,0.080111902
1/1/1965,427.5,0.081730769
2/1/1965,430.4,0.08249497
3/1/1965,433.2,0.083541771
4/1/1965,435.4,0.083893453
5/1/1965,437.1,0.081395349
6/1/1965,440.1,0.081061164
7/1/1965,442.9,0.079980493
8/1/1965,445.8,0.078374456
9/1/1965,449.5,0.07819621
10/1/1965,452.6,0.07993319
11/1/1965,455.7,0.07985782
12/1/1965,459.2,0.081233812
1/1/1966,462,0.080701754
2/1/1966,464.6,0.079460967
3/1/1966,467.2,0.078485688
4/1/1966,469.3,0.07785944
5/1/1966,470.1,0.075497598
6/1/1966,471.2,0.070665758
7/1/1966,470.9,0.063219688
8/1/1966,472.6,0.060116644
9/1/1966,475.4,0.057619577
10/1/1966,475.7,0.051038445
11/1/1966,477.3,0.047399605
12/1/1966,480.2,0.045731707
1/1/1967,481.6,0.042424242
2/1/1967,485.1,0.044123978
3/1/1967,489.7,0.048159247
4/1/1967,492.1,0.048582996
5/1/1967,497.2,0.057647309
6/1/1967,502,0.065365025
7/1/1967,506.3,0.075175196
8/1/1967,510.8,0.080829454
9/1/1967,514.7,0.082667228
10/1/1967,518.2,0.089342022
11/1/1967,521.2,0.091975697
12/1/1967,524.8,0.092877968
1/1/1968,527.4,0.095099668
2/1/1968,530.4,0.093382808
3/1/1968,533.2,0.088829896
4/1/1968,535.7,0.088599878
5/1/1968,538.9,0.08386967
6/1/1968,542.6,0.080876494
7/1/1968,545.6,0.077621963
8/1/1968,549.4,0.075567737
9/1/1968,553.6,0.075578007
10/1/1968,557.6,0.07603242
11/1/1968,562.4,0.07904835
12/1/1968,566.8,0.080030488
1/1/1969,569.3,0.079446341
2/1/1969,571.9,0.078242836
3/1/1969,574.4,0.077269317
4/1/1969,575.7,0.074668658
5/1/1969,576.5,0.069771757
6/1/1969,578.5,0.066162919
7/1/1969,579.5,0.062133431
8/1/1969,580.1,0.055879141
9/1/1969,582.1,0.051481214
10/1/1969,583.4,0.046269727
11/1/1969,585.4,0.040896159
12/1/1969,587.9,0.037226535
1/1/1970,589.6,0.035657825
2/1/1970,586.3,0.025179227
3/1/1970,587.3,0.022458217
4/1/1970,588.4,0.022060101
5/1/1970,591.5,0.026019081
6/1/1970,595.2,0.028867761
7/1/1970,599.1,0.033822261
8/1/1970,604.9,0.04275125
9/1/1970,611.2,0.04999141
10/1/1970,616.4,0.056564964
11/1/1970,621.1,0.060983943
12/1/1970,626.5,0.065657425
1/1/1971,632.9,0.07343962
2/1/1971,641,0.093296947
3/1/1971,649.9,0.106589477
4/1/1971,658.4,0.118966689
5/1/1971,666.7,0.127134404
6/1/1971,673,0.130712366
7/1/1971,679.6,0.134368219
8/1/1971,685.5,0.133245164
9/1/1971,692.5,0.133017016
10/1/1971,698.4,0.1330305
11/1/1971,704.6,0.134438899
12/1/1971,710.3,0.133758978
1/1/1972,717.7,0.133986412
2/1/1972,725.7,0.132137285
3/1/1972,733.5,0.128635175
4/1/1972,738.4,0.121506683
5/1/1972,743.3,0.114894255
6/1/1972,749.7,0.113967311
7/1/1972,759.5,0.117569158
8/1/1972,768.7,0.121371262
9/1/1972,778.3,0.123898917
10/1/1972,786.9,0.126718213
11/1/1972,793.9,0.126738575
12/1/1972,802.3,0.129522737
1/1/1973,810.3,0.129023269
2/1/1973,814.1,0.121813422
3/1/1973,815.3,0.111520109
4/1/1973,819.7,0.110102925
5/1/1973,826.8,0.112336876
6/1/1973,833.3,0.111511271
7/1/1973,836.5,0.101382488
8/1/1973,838.8,0.091192923
9/1/1973,839.3,0.078375948
10/1/1973,842.6,0.070784089
11/1/1973,848.9,0.069278247
12/1/1973,855.5,0.066309361
1/1/1974,859.7,0.060965075
2/1/1974,864.2,0.061540351
3/1/1974,870.1,0.067214522
4/1/1974,872.9,0.064901793
5/1/1974,874.6,0.057813256
6/1/1974,877.8,0.053402136
7/1/1974,881.4,0.053676031
8/1/1974,884.1,0.054005722
9/1/1974,887.9,0.057905397
10/1/1974,893.3,0.0601709
11/1/1974,898.6,0.058546354
12/1/1974,902.1,0.05447107
1/1/1975,906.3,0.054204955
2/1/1975,914.1,0.057741264
3/1/1975,925,0.063096196
4/1/1975,935.1,0.07125673
5/1/1975,947.9,0.083809742
6/1/1975,963,0.097060834
7/1/1975,975.1,0.106308146
8/1/1975,983.1,0.111978283
9/1/1975,991.5,0.116679806
10/1/1975,997.8,0.116981977
11/1/1975,1006.9,0.12052081
12/1/1975,1016.2,0.126482652
1/1/1976,1026.6,0.132737504
2/1/1976,1040.3,0.138059293
3/1/1976,1050,0.135135135
4/1/1976,1060.8,0.134424126
5/1/1976,1072.1,0.13102648
6/1/1976,1077.6,0.119003115
7/1/1976,1086.3,0.114039586
8/1/1976,1098.7,0.117587224
9/1/1976,1110.8,0.120322743
10/1/1976,1125,0.127480457
11/1/1976,1138.2,0.130400238
12/1/1976,1152,0.133635111
1/1/1977,1165.2,0.135008767
2/1/1977,1177.6,0.131981159
3/1/1977,1188.5,0.131904762
4/1/1977,1199.6,0.130844646
5/1/1977,1209,0.127693312
6/1/1977,1217.8,0.130103935
7/1/1977,1226.7,0.129246065
8/1/1977,1237,0.125876035
9/1/1977,1246.2,0.12189413
10/1/1977,1254,0.114666667
11/1/1977,1262.4,0.109119663
12/1/1977,1270.3,0.102690972
1/1/1978,1279.7,0.098266392
2/1/1978,1285.5,0.091627038
3/1/1978,1292.2,0.08725284
4/1/1978,1300.4,0.084028009
5/1/1978,1310.5,0.083953681
6/1/1978,1318.5,0.082690097
7/1/1978,1324.1,0.079400016
8/1/1978,1333.5,0.078011318
9/1/1978,1345,0.079281014
10/1/1978,1352.3,0.078389155
11/1/1978,1359.1,0.076600127
12/1/1978,1366,0.075336535
1/1/1979,1371.6,0.071813706
2/1/1979,1377.8,0.071800856
3/1/1979,1387.8,0.073982356
4/1/1979,1402.1,0.078206706
5/1/1979,1410.2,0.076077833
6/1/1979,1423,0.079256731
7/1/1979,1434.8,0.083603957
8/1/1979,1446.6,0.084814398
