year,period,value,date,area_name,area_code
1997,M01,159.4,1997-01-01,U.S. city average,0
1997,M02,159.7,1997-02-01,U.S. city average,0
1997,M03,159.8,1997-03-01,U.S. city average,0
1997,M04,159.9,1997-04-01,U.S. city average,0
1997,M05,159.9,1997-05-01,U.S. city average,0
1997,M06,160.2,1997-06-01,U.S. city average,0
1997,M07,160.4,1997-07-01,U.S. city average,0
1997,M08,160.8,1997-08-01,U.S. city average,0
1997,M09,161.2,1997-09-01,U.S. city average,0
1997,M10,161.5,1997-10-01,U.S. city average,0
1997,M11,161.7,1997-11-01,U.S. city average,0
1997,M12,161.8,1997-12-01,U.S. city average,0
1998,M01,162,1998-01-01,U.S. city average,0
1998,M02,162,1998-02-01,U.S. city average,0
1998,M03,162,1998-03-01,U.S. city average,0
1998,M04,162.2,1998-04-01,U.S. city average,0
1998,M05,162.6,1998-05-01,U.S. city average,0
1998,M06,162.8,1998-06-01,U.S. city average,0
1998,M07,163.2,1998-07-01,U.S. city average,0
1998,M08,163.4,1998-08-01,U.S. city average,0
1998,M09,163.5,1998-09-01,U.S. city average,0
1998,M10,163.9,1998-10-01,U.S. city average,0
1998,M11,164.1,1998-11-01,U.S. city average,0
1998,M12,164.4,1998-12-01,U.S. city average,0
1999,M01,164.7,1999-01-01,U.S. city average,0
1999,M02,164.7,1999-02-01,U.S. city average,0
1999,M03,164.8,1999-03-01,U.S. city average,0
1999,M04,165.9,1999-04-01,U.S. city average,0
1999,M05,166,1999-05-01,U.S. city average,0
1999,M06,166,1999-06-01,U.S. city average,0
1999,M07,166.7,1999-07-01,U.S. city average,0
1999,M08,167.1,1999-08-01,U.S. city average,0
1999,M09,167.8,1999-09-01,U.S. city average,0
1999,M10,168.1,1999-10-01,U.S. city average,0
1999,M11,168.4,1999-11-01,U.S. city average,0
1999,M12,168.8,1999-12-01,U.S. city average,0
2000,M01,169.3,2000-01-01,U.S. city average,0
2000,M02,170,2000-02-01,U.S. city average,0
2000,M03,171,2000-03-01,U.S. city average,0
2000,M04,170.9,2000-04-01,U.S. city average,0
2000,M05,171.2,2000-05-01,U.S. city average,0
2000,M06,172.2,2000-06-01,U.S. city average,0
2000,M07,172.7,2000-07-01,U.S. city average,0
2000,M08,172.7,2000-08-01,U.S. city average,0
2000,M09,173.6,2000-09-01,U.S. city average,0
2000,M10,173.9,2000-10-01,U.S. city average,0
2000,M11,174.2,2000-11-01,U.S. city average,0
2000,M12,174.6,2000-12-01,U.S. city average,0
2001,M01,175.6,2001-01-01,U.S. city average,0
2001,M02,176,2001-02-01,U.S. city average,0
2001,M03,176.1,2001-03-01,U.S. city average,0
2001,M04,176.4,2001-04-01,U.S. city average,0
2001,M05,177.3,2001-05-01,U.S. city average,0
2001,M06,177.7,2001-06-01,U.S. city average,0
2001,M07,177.4,2001-07-01,U.S. city average,0
2001,M08,177.4,2001-08-01,U.S. city average,0
2001,M09,178.1,2001-09-01,U.S. city average,0
2001,M10,177.6,2001-10-01,U.S. city average,0
2001,M11,177.5,2001-11-01,U.S. city average,0
2001,M12,177.4,2001-12-01,U.S. city average,0
2002,M01,177.7,2002-01-01,U.S. city average,0
2002,M02,178,2002-02-01,U.S. city average,0
2002,M03,178.5,2002-03-01,U.S. city average,0
2002,M04,179.3,2002-04-01,U.S. city average,0
2002,M05,179.5,2002-05-01,U.S. city average,0
2002,M06,179.6,2002-06-01,U.S. city average,0
2002,M07,180,2002-07-01,U.S. city average,0
2002,M08,180.5,2002-08-01,U.S. city average,0
2002,M09,180.8,2002-09-01,U.S. city average,0
2002,M10,181.2,2002-10-01,U.S. city average,0
2002,M11,181.5,2002-11-01,U.S. city average,0
2002,M12,181.8,2002-12-01,U.S. city average,0
2003,M01,182.6,2003-01-01,U.S. city average,0
2003,M02,183.6,2003-02-01,U.S. city average,0
2003,M03,183.9,2003-03-01,U.S. city average,0
2003,M04,183.2,2003-04-01,U.S. city average,0
2003,M05,182.9,2003-05-01,U.S. city average,0
2003,M06,183.1,2003-06-01,U.S. city average,0
2003,M07,183.7,2003-07-01,U.S. city average,0
2003,M08,184.5,2003-08-01,U.S. city average,0
2003,M09,185.1,2003-09-01,U.S. city average,0
2003,M10,184.9,2003-10-01,U.S. city average,0
2003,M11,185,2003-11-01,U.S. city average,0
2003,M12,185.5,2003-12-01,U.S. city average,0
2004,M01,186.3,2004-01-01,U.S. city average,0
2004,M02,186.7,2004-02-01,U.S. city average,0
2004,M03,187.1,2004-03-01,U.S. city average,0
2004,M04,187.4,2004-04-01,U.S. city average,0
2004,M05,188.2,2004-05-01,U.S. city average,0
2004,M06,188.9,2004-06-01,U.S. city average,0
2004,M07,189.1,2004-07-01,U.S. city average,0
2004,M08,189.2,2004-08-01,U.S. city average,0
2004,M09,189.8,2004-09-01,U.S. city average,0
2004,M10,190.8,2004-10-01,U.S. city average,0
2004,M11,191.7,2004-11-01,U.S. city average,0
2004,M12,191.7,2004-12-01,U.S. city average,0
2005,M01,191.6,2005-01-01,U.S. city average,0
2005,M02,192.4,2005-02-01,U.S. city average,0
2005,M03,193.1,2005-03-01,U.S. city average,0
2005,M04,193.7,2005-04-01,U.S. city average,0
