DATE,WTISPLC,Oil_Change
1/1/1946,1.17,0
2/1/1946,1.17,0
3/1/1946,1.17,0
4/1/1946,1.27,0.085470085
5/1/1946,1.27,0
6/1/1946,1.27,0
7/1/1946,1.27,0
8/1/1946,1.52,0.196850394
9/1/1946,1.52,0
10/1/1946,1.52,0
11/1/1946,1.52,0
12/1/1946,1.62,0.065789474
1/1/1947,1.62,0
2/1/1947,1.62,0
3/1/1947,1.62,0
4/1/1947,1.87,0.154320988
5/1/1947,1.87,0
6/1/1947,1.87,0
7/1/1947,1.87,0
8/1/1947,1.87,0
9/1/1947,1.87,0
10/1/1947,1.87,0
11/1/1947,2.07,0.106951872
12/1/1947,2.07,0
1/1/1948,2.57,0.241545894
2/1/1948,2.57,0
3/1/1948,2.57,0
4/1/1948,2.57,0
5/1/1948,2.57,0
6/1/1948,2.57,0
7/1/1948,2.57,0
8/1/1948,2.57,0
9/1/1948,2.57,0
10/1/1948,2.57,0
11/1/1948,2.57,0
12/1/1948,2.57,0
1/1/1949,2.57,0
2/1/1949,2.57,0
3/1/1949,2.57,0
4/1/1949,2.57,0
5/1/1949,2.57,0
6/1/1949,2.57,0
7/1/1949,2.57,0
8/1/1949,2.57,0
9/1/1949,2.57,0
10/1/1949,2.57,0
11/1/1949,2.57,0
12/1/1949,2.57,0
1/1/1950,2.57,0
2/1/1950,2.57,0
3/1/1950,2.57,0
4/1/1950,2.57,0
5/1/1950,2.57,0
6/1/1950,2.57,0
7/1/1950,2.57,0
8/1/1950,2.57,0
9/1/1950,2.57,0
10/1/1950,2.57,0
11/1/1950,2.57,0
12/1/1950,2.57,0
1/1/1951,2.57,0
2/1/1951,2.57,0
3/1/1951,2.57,0
4/1/1951,2.57,0
5/1/1951,2.57,0
6/1/1951,2.57,0
7/1/1951,2.57,0
8/1/1951,2.57,0
9/1/1951,2.57,0
10/1/1951,2.57,0
11/1/1951,2.57,0
12/1/1951,2.57,0
1/1/1952,2.57,0
2/1/1952,2.57,0
3/1/1952,2.57,0
4/1/1952,2.57,0
5/1/1952,2.57,0
6/1/1952,2.57,0
7/1/1952,2.57,0
8/1/1952,2.57,0
9/1/1952,2.57,0
10/1/1952,2.57,0
11/1/1952,2.57,0
12/1/1952,2.57,0
1/1/1953,2.57,0
2/1/1953,2.57,0
3/1/1953,2.57,0
4/1/1953,2.57,0
5/1/1953,2.57,0
6/1/1953,2.82,0.097276265
7/1/1953,2.82,0
8/1/1953,2.82,0
9/1/1953,2.82,0
10/1/1953,2.82,0
11/1/1953,2.82,0
12/1/1953,2.82,0
1/1/1954,2.82,0
2/1/1954,2.82,0
3/1/1954,2.82,0
4/1/1954,2.82,0
5/1/1954,2.82,0
6/1/1954,2.82,0
7/1/1954,2.82,0
8/1/1954,2.82,0
9/1/1954,2.82,0
10/1/1954,2.82,0
11/1/1954,2.82,0
12/1/1954,2.82,0
1/1/1955,2.82,0
2/1/1955,2.82,0
3/1/1955,2.82,0
4/1/1955,2.82,0
5/1/1955,2.82,0
6/1/1955,2.82,0
7/1/1955,2.82,0
8/1/1955,2.82,0
9/1/1955,2.82,0
10/1/1955,2.82,0
11/1/1955,2.82,0
12/1/1955,2.82,0
1/1/1956,2.82,0
2/1/1956,2.82,0
3/1/1956,2.82,0
4/1/1956,2.82,0
5/1/1956,2.82,0
6/1/1956,2.82,0
7/1/1956,2.82,0
8/1/1956,2.82,0
9/1/1956,2.82,0
10/1/1956,2.82,0
11/1/1956,2.82,0
12/1/1956,2.82,0
1/1/1957,2.82,0
2/1/1957,3.07,0.088652482
3/1/1957,3.07,0
4/1/1957,3.07,0
5/1/1957,3.07,0
6/1/1957,3.07,0
7/1/1957,3.07,0
8/1/1957,3.07,0
9/1/1957,3.07,0
10/1/1957,3.07,0
11/1/1957,3.07,0
12/1/1957,3,-0.022801303
1/1/1958,3.07,0.023333333
2/1/1958,3.07,0
3/1/1958,3.07,0
4/1/1958,3.07,0
5/1/1958,3.07,0
6/1/1958,3.07,0
7/1/1958,3.07,0
8/1/1958,3.07,0
9/1/1958,3.07,0
10/1/1958,3.07,0
11/1/1958,3,-0.022801303
12/1/1958,3,0
1/1/1959,3,0
2/1/1959,3,0
3/1/1959,2.97,-0.01
4/1/1959,2.97,0
5/1/1959,2.97,0
6/1/1959,2.97,0
7/1/1959,2.97,0
8/1/1959,2.97,0
9/1/1959,2.97,0
10/1/1959,2.97,0
11/1/1959,2.97,0
12/1/1959,2.97,0
1/1/1960,2.97,0
2/1/1960,2.97,0
3/1/1960,2.97,0
4/1/1960,2.97,0
5/1/1960,2.97,0
6/1/1960,2.97,0
7/1/1960,2.97,0
8/1/1960,2.97,0
9/1/1960,2.97,0
10/1/1960,2.97,0
11/1/1960,2.97,0
12/1/1960,2.97,0
1/1/1961,2.97,0
2/1/1961,2.97,0
3/1/1961,2.97,0
4/1/1961,2.97,0
5/1/1961,2.97,0
6/1/1961,2.97,0
7/1/1961,2.97,0
8/1/1961,2.97,0
9/1/1961,2.97,0
10/1/1961,2.97,0
11/1/1961,2.97,0
12/1/1961,2.97,0
1/1/1962,2.97,0
2/1/1962,2.97,0
3/1/1962,2.97,0
4/1/1962,2.97,0
5/1/1962,2.97,0
6/1/1962,2.97,0
7/1/1962,2.97,0
8/1/1962,2.97,0
9/1/1962,2.97,0
10/1/1962,2.97,0
11/1/1962,2.97,0
12/1/1962,2.97,0
1/1/1963,2.97,0
2/1/1963,2.97,0
3/1/1963,2.97,0
4/1/1963,2.97,0
5/1/1963,2.97,0
6/1/1963,2.97,0
7/1/1963,2.97,0
8/1/1963,2.97,0
9/1/1963,2.97,0
10/1/1963,2.97,0
11/1/1963,2.97,0
12/1/1963,2.97,0
1/1/1964,2.97,0
2/1/1964,2.97,0
3/1/1964,2.97,0
4/1/1964,2.97,0
5/1/1964,2.97,0
6/1/1964,2.97,0
7/1/1964,2.92,-0.016835017
8/1/1964,2.92,0
9/1/1964,2.92,0
10/1/1964,2.92,0
